# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,WingGeom,0,ZVGIRMEXVR,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
1.300000000000000266e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00
1.274928722905838363e+00, 0.000000000000000000e+00, -5.063494108474479380e-03, 1.000000000000000000e+00, 4.173311976788848798e-02
1.238870513699684928e+00, 0.000000000000000000e+00, -1.218633025397360473e-02, 1.000000000000000000e+00, 9.595583006934514658e-02
1.188070508875555875e+00, 0.000000000000000000e+00, -2.191492261702294650e-02, 1.000000000000000000e+00, 1.722603643809275942e-01
1.118548126270134668e+00, 0.000000000000000000e+00, -3.467271429539392491e-02, 1.000000000000000000e+00, 2.765358755368439447e-01
1.027089662762050049e+00, 0.000000000000000000e+00, -5.050235377388333224e-02, 1.000000000000000000e+00, 4.134663504172014781e-01
9.128266961275006697e-01, 0.000000000000000000e+00, -6.871305003123012733e-02, 1.000000000000000000e+00, 5.841612375912467181e-01
7.789119131609880675e-01, 0.000000000000000000e+00, -8.753173452123964859e-02, 1.000000000000000000e+00, 7.836633902842906618e-01
6.332040295881686820e-01, 0.000000000000000000e+00, -1.040249763209774164e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
4.869592856538281223e-01, 0.000000000000000000e+00, -1.146609192812591410e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
